id,title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,supergenre
499,Rich Boy,Galantis,big room,2017,110,90,74,-2,8,65,184,7,5,55,room
505,Water Under the Bridge,Adele,british soul,2017,95,84,60,-7,11,47,240,2,7,49,soul
506,Free Me,Sia,australian dance,2017,87,46,27,-4,14,21,286,85,3,44,dance
520,Electricity (with Dua Lipa),Silk City,edm,2018,118,67,59,-6,34,51,238,1,5,82,edm
521,Love On The Brain,Rihanna,barbadian pop,2018,172,64,51,-5,8,38,224,7,5,82,barbadian pop
531,Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59,-6,31,19,269,5,9,78,hip hop
536,Sick Boy,The Chainsmokers,electropop,2018,90,58,66,-8,12,45,193,11,5,76,electropop
549,First Time,Kygo,edm,2018,90,59,63,-7,10,68,194,20,11,71,edm
551,Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,72,76,-6,23,47,210,2,8,68,latin
552,Lemon,N.E.R.D,hip hop,2018,95,73,92,-7,12,20,220,0,9,68,hip hop
560,Walk On Water (feat. Beyoncé),Eminem,detroit hip hop,2018,82,44,48,-10,64,62,304,81,24,65,hip hop
579,Trampoline (with ZAYN),SHAED,electropop,2019,127,46,62,-6,14,50,184,56,3,92,electropop
581,Truth Hurts,Lizzo,escape room,2019,158,62,72,-3,12,41,173,11,11,90,room
582,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,67,-3,74,48,159,30,6,90,room
583,Higher Love,Kygo,edm,2019,104,68,69,-7,10,40,228,2,3,88,edm
584,Only Human,Jonas Brothers,boy band,2019,94,50,80,-6,6,87,183,11,7,87,band
586,Sucker,Jonas Brothers,boy band,2019,138,73,84,-5,11,95,181,4,6,86,band
589,Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,90,-9,6,35,198,5,13,84,r&b
591,Takeaway,The Chainsmokers,electropop,2019,100,51,53,-8,10,35,210,13,3,83,electropop
592,All Around The World (La La La),R3HAB,big room,2019,125,86,73,-5,11,52,148,48,3,82,room
594,Call You Mine,The Chainsmokers,electropop,2019,104,70,59,-6,34,52,218,20,3,81,electropop
598,Con Calma - Remix,Daddy Yankee,latin,2019,94,87,74,-3,4,61,181,17,5,76,latin
603,Kills You Slowly,The Chainsmokers,electropop,2019,150,44,70,-9,13,23,213,6,6,67,electropop
12,Marry You,Bruno Mars,pop,2010,145,83,62,-5,10,48,230,33,4,73,pop
22,Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6,45,227,1,5,66,pop
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,-4,12,72,185,47,27,58,dance pop
44,Loca,Shakira,colombian pop,2010,112,87,80,-4,9,85,193,19,7,56,pop
60,Grenade,Bruno Mars,pop,2011,110,56,71,-7,12,23,223,15,6,75,pop
69,Price Tag,Jessie J,australian pop,2011,175,83,64,-4,27,68,223,3,18,72,pop
87,Marry The Night,Lady Gaga,dance pop,2011,131,88,61,-4,46,38,265,0,6,61,dance pop
171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,75,52,-6,14,16,215,26,4,69,dance pop
172,The Way,Ariana Grande,dance pop,2013,82,88,65,-3,8,86,227,29,11,68,dance pop
175,I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71,-3,15,82,157,1,3,67,pop
212,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,85,pop
213,Summer,Calvin Harris,dance pop,2014,128,86,60,-4,14,74,223,2,3,80,dance pop
216,Shake It Off,Taylor Swift,pop,2014,160,80,65,-5,33,94,219,6,17,78,pop
235,Young Girls,Bruno Mars,pop,2014,126,75,56,-5,21,50,229,46,3,67,pop
259,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,92,81,68,-4,34,64,169,7,6,50,pop
